date_key,channel_key,impressions,clicks,spend,conversions
20210723,1,12261,156,107.8,4
20210724,1,4743,61,44.57,1
20210725,1,12039,150,109.48,4
20210726,1,6772,87,60.19,2
20210727,1,14329,186,119.18,5
20210728,1,19293,248,181.73,6
20210729,1,8662,102,74.98,2
20210730,1,16447,205,154.24,5
20210731,1,10796,140,100.87,4
20210801,1,16177,225,144.21,6
20210802,1,21374,266,197.48,6
20210803,1,7496,98,68.72,2
20210804,1,7877,105,70.98,2
20210805,1,14884,186,127.65,6
20210806,1,17866,242,161.04,6
20210807,1,12217,166,125.5,5
20210808,1,16750,230,144.51,7
20210809,1,7313,95,61.75,2
20210810,1,8380,122,83.91,3
20210811,1,14535,177,142.26,5
20210812,1,7944,114,87.57,3
20210813,1,15951,211,130.5,6
20210814,1,15780,216,169.67,5
20210815,1,16144,200,157.58,6
20210816,1,12422,165,106.23,4
20210817,1,8579,118,67.88,3
20210818,1,6765,80,56.45,2
20210819,1,6401,80,61.59,2
20210820,1,19462,216,173.74,6
20210821,1,9372,117,77.48,3
20210822,1,6492,78,63.61,2
20210823,1,9718,121,71.55,3
20210824,1,7584,114,78.48,3
20210825,1,18239,255,174.8,7
20210826,1,11758,136,105.86,4
20210827,1,28689,374,294.02,10
20210828,1,9527,126,96.1,3
20210829,1,17486,216,137.47,6
20210830,1,12402,158,120.03,4
20210831,1,13424,172,126.91,4
20210901,1,10927,127,78.67,3
20210902,1,18408,218,131.32,7
20210903,1,13749,175,135.27,4
20210904,1,2604,33,22.81,0
20210905,1,6462,78,49.81,1
20210906,1,16242,195,136.67,5
20210907,1,10780,135,98.69,4
20210908,1,4896,65,45.94,1
20210909,1,15882,199,125.02,5
20210910,1,17516,243,201.15,7
20210911,1,18808,227,175.36,5
20210912,1,14769,188,130.29,5
20210913,1,2355,29,19.99,0
20210914,1,14427,188,137.71,6
20210915,1,10832,130,84.66,3
20210916,1,19125,270,197.41,7
20210917,1,12235,139,88.89,3
20210918,1,14208,198,140.91,5
20210919,1,11789,149,96.98,4
20210920,1,6850,89,57.92,2
20210921,1,16452,224,182.56,6
20210922,1,12623,167,119.65,4
20210923,1,14053,169,123.04,4
20210924,1,23573,307,187.2,8
20210925,1,22490,316,215.62,8
20210926,1,19314,230,170.71,6
20210927,1,3436,49,35.3,1
20210928,1,11440,147,88.68,3
20210929,1,12263,150,109.3,4
20210930,1,8069,96,70.95,2
20211001,1,18007,223,177.29,6
20211002,1,16576,185,125.77,5
20211003,1,17567,215,128.91,7
20211004,1,17733,219,145.19,7
20211005,1,12498,147,96.49,3
20211006,1,4497,59,45.33,1
20211007,1,8160,101,58.14,2
20211008,1,8699,105,72.71,3
20211009,1,24317,299,240.95,8
20211010,1,11791,151,108.4,4
20211011,1,13026,164,126.91,5
20211012,1,10402,125,78.62,3
20211013,1,7366,93,59.05,2
20211014,1,9766,122,98.47,3
20211015,1,13333,156,113.45,4
20211016,1,13971,172,124.86,5
20211017,1,13726,178,117.59,4
20211018,1,6095,79,57.7,2
20211019,1,16518,204,134.41,5
20211020,1,7516,98,78.11,2
20211021,1,23298,275,247.04,7
20211022,1,9049,107,80.72,2
20211023,1,7787,96,65.9,2
20211024,1,18262,250,147.48,5
20211025,1,12980,164,103.89,4
20211026,1,13490,166,136.26,4
20211027,1,8162,112,74.4,3
20211028,1,24973,307,215.43,9
20211029,1,9371,134,102.23,3
20211030,1,10638,129,105.41,3
20211031,1,11899,140,99.56,3
20211101,1,13332,165,115.55,5
20211102,1,31430,387,282.09,10
20211103,1,14363,171,118.23,4
20211104,1,22798,333,230.98,8
20211105,1,29447,375,281.68,9
20211106,1,17127,220,162.04,6
20211107,1,19014,231,198.92,6
20211108,1,32910,397,299.05,12
20211109,1,14383,191,152.37,5
20211110,1,17093,193,128.58,6
20211111,1,21533,251,190.69,6
20211112,1,17807,219,150.51,5
20211113,1,34209,463,347.55,11
20211114,1,28029,342,263.05,10
20211115,1,18135,232,169.6,6
20211116,1,25367,317,280.41,9
20211117,1,13424,181,147.83,4
20211118,1,6966,79,63.2,1
20211119,1,22787,297,230.5,8
20211120,1,47723,588,494.1,17
20211121,1,10699,141,91.99,3
20211122,1,14746,175,142.23,5
20211123,1,18746,234,157.85,7
20211124,1,29146,361,252.43,9
20211125,1,14062,165,126.04,4
20211126,1,29728,343,277.13,7
20211127,1,32582,392,261.58,11
20211128,1,27244,342,240.07,7
20211129,1,31089,370,272.83,9
20211130,1,19085,233,167.71,5
20211201,1,27700,308,241.47,8
20211202,1,17987,219,211.64,6
20211203,1,19190,254,192.23,5
20211204,1,21950,285,197.21,7
20211205,1,16559,205,135.44,5
20211206,1,12593,159,113.96,4
20211207,1,12756,151,102.66,4
20211208,1,16772,230,175.31,5
20211209,1,9019,127,96.58,3
20211210,1,17914,225,159.12,7
20211211,1,19689,286,246.42,8
20211212,1,15667,187,129.66,4
20211213,1,17863,206,150.39,5
20211214,1,8983,107,82.69,2
20211215,1,26171,321,253.82,8
20211216,1,21435,306,249.36,7
20211217,1,23983,293,222.9,7
20211218,1,11866,140,112.42,4
20211219,1,10706,126,87.83,3
20211220,1,10076,134,106.28,3
20211221,1,6751,89,70.24,2
20211222,1,6965,84,69.89,2
20211223,1,7662,85,55.13,2
20211224,1,30171,350,240.24,11
20211225,1,6177,85,67.2,2
20211226,1,10515,136,81.03,3
20211227,1,21113,263,202.09,7
20211228,1,14483,201,161.58,5
20211229,1,15840,221,156.1,6
20211230,1,11554,143,102.49,4
20211231,1,13399,166,112.41,4
20220101,1,13195,158,111.86,4
20220102,1,1723,21,14.99,0
20220103,1,7584,86,60.23,2
20220104,1,4235,48,33.75,1
20220105,1,10826,121,87.66,3
20220106,1,6276,83,60.17,2
20220107,1,4964,56,48.35,1
20220108,1,4093,57,40.67,1
20220109,1,12315,146,111.4,4
20220110,1,800,11,7.77,0
20220111,1,14362,174,123.4,5
20220112,1,4880,55,35.57,1
20220113,1,12564,168,110.1,4
20220114,1,9432,127,85.65,3
20220115,1,11602,136,102.79,4
20220116,1,4286,52,42.45,1
20220117,1,15189,178,114.62,5
20220118,1,14166,174,123.98,5
20220119,1,1205,15,10.18,0
20220120,1,6853,83,60.25,2
20220121,1,22095,245,198.55,6
20220122,1,11221,134,96.13,4
20220123,1,6978,90,66.97,2
20220124,1,6799,83,69.8,2
20220125,1,13201,160,123.57,4
20220126,1,16085,188,131.68,5
20220127,1,12423,148,112.2,4
20220128,1,19114,257,179.27,7
20220129,1,9361,108,83.5,3
20220130,1,13490,174,135.18,4
20220131,1,7428,92,61.82,2
20220201,1,12448,156,118.51,4
20220202,1,7955,94,69.76,2
20220203,1,16545,200,156.4,5
20220204,1,12885,159,127.0,4
20220205,1,20814,249,193.97,7
20220206,1,20097,253,184.71,8
20220207,1,1735,22,17.43,0
20220208,1,6972,98,68.49,3
20220209,1,10683,134,90.63,3
20220210,1,5365,59,34.09,1
20220211,1,6806,90,67.46,2
20220212,1,24546,299,210.27,9
20220213,1,1725,24,18.84,0
20220214,1,9283,125,80.47,3
20220215,1,19485,233,166.24,5
20220216,1,7071,91,71.1,2
20220217,1,9671,115,79.73,3
20220218,1,21261,262,203.5,7
20220219,1,9198,118,84.55,3
20220220,1,6151,81,60.6,2
20220221,1,3924,51,40.49,1
20220222,1,15441,191,155.2,6
20220223,1,6717,96,72.9,2
20220224,1,9963,120,85.02,3
20220225,1,4563,51,37.11,1
20220226,1,13267,150,119.15,4
20220227,1,11008,148,103.07,3
20220228,1,19595,240,178.53,6
20220301,1,11352,141,103.07,3
20220302,1,14445,172,128.67,5
20220303,1,7268,87,60.86,2
20220304,1,23272,273,178.03,8
20220305,1,18737,237,186.43,6
20220306,1,27080,331,270.2,8
20220307,1,16880,213,139.21,5
20220308,1,4225,53,41.25,1
20220309,1,10768,129,106.46,3
20220310,1,6218,70,55.39,1
20220311,1,15092,169,123.76,5
20220312,1,10047,148,103.65,4
20220313,1,8046,108,82.28,3
20220314,1,15702,209,161.92,6
20220315,1,5173,61,46.26,1
20220316,1,10338,127,94.81,3
20220317,1,15654,183,127.55,4
20220318,1,5376,61,47.54,1
20220319,1,13505,160,125.87,4
20220320,1,17610,234,180.49,6
20220321,1,4882,63,48.58,1
20220322,1,11836,137,118.76,3
20220323,1,8640,104,75.41,2
20220324,1,10211,131,110.23,4
20220325,1,6751,80,57.02,2
20220326,1,24512,302,250.76,8
20220327,1,18154,228,191.27,6
20220328,1,4303,54,40.1,1
20220329,1,6348,79,68.91,2
20220330,1,8995,106,83.5,3
20220331,1,12737,151,107.3,3
20220401,1,28568,327,242.02,9
20220402,1,10758,120,100.21,3
20220403,1,9207,112,92.22,3
20220404,1,10729,138,96.74,4
20220405,1,12597,142,107.29,4
20220406,1,12936,161,125.13,4
20220407,1,8806,113,82.57,3
20220408,1,20249,222,204.56,6
20220409,1,11709,141,109.83,3
20220410,1,11771,159,121.17,4
20220411,1,13995,177,148.64,5
20220412,1,20301,222,165.04,6
20220413,1,11238,143,118.91,3
20220414,1,14537,170,114.11,4
20220415,1,4707,60,44.59,1
20220416,1,10996,129,107.64,3
20220417,1,6975,85,74.17,2
20220418,1,19685,233,168.2,6
20220419,1,10471,128,91.65,3
20220420,1,17948,212,169.83,5
20220421,1,9041,109,79.25,2
20220422,1,20201,230,172.79,7
20220423,1,24800,312,256.78,8
20220424,1,6805,84,61.84,2
20220425,1,5413,60,39.62,1
20220426,1,7561,98,67.51,2
20220427,1,23094,279,214.48,8
20220428,1,12737,157,103.86,4
20220429,1,21050,269,202.06,7
20220430,1,23941,298,205.44,7
20220501,1,17193,225,197.81,7
20220502,1,14681,176,160.95,5
20220503,1,13251,172,121.94,4
20220504,1,9603,118,92.8,3
20220505,1,5249,66,47.25,1
20220506,1,7604,95,71.67,2
20220507,1,8527,112,99.79,3
20220508,1,13511,172,127.46,4
20220509,1,20977,249,187.75,7
20220510,1,14069,165,117.89,4
20220511,1,5514,67,57.04,2
20220512,1,10308,120,71.64,2
20220513,1,9355,107,79.68,3
20220514,1,24904,267,205.74,7
20220515,1,17300,192,140.63,4
20220516,1,16984,233,193.23,6
20220517,1,17256,202,172.09,5
20220518,1,6961,95,65.74,2
20220519,1,15235,190,173.74,5
20220520,1,23321,283,195.49,8
20220521,1,15105,168,143.95,4
20220522,1,7476,91,71.45,2
20220523,1,19957,272,202.56,7
20220524,1,18043,241,181.05,6
20220525,1,11322,140,108.18,3
20220526,1,13919,158,124.99,4
20220527,1,9145,105,75.67,2
20220528,1,23286,269,204.64,6
20220529,1,13561,178,130.11,4
20220530,1,15740,211,148.62,5
20220531,1,5692,70,50.78,1
20220601,1,18520,221,156.68,6
20220602,1,20175,269,202.15,8
20220603,1,12046,138,110.91,3
20220604,1,25360,309,242.74,9
20220605,1,17698,221,201.23,5
20220606,1,12488,144,94.03,3
20220607,1,15658,183,147.57,4
20220608,1,10747,125,97.59,3
20220609,1,7794,103,85.29,3
20220610,1,9622,131,108.09,3
20220611,1,9166,112,86.15,2
20220612,1,17085,204,161.09,5
20220613,1,23583,276,203.22,7
20220614,1,17969,218,178.88,5
20220615,1,11249,132,88.93,4
20220616,1,13354,161,133.58,4
20220617,1,12470,155,121.02,4
20220618,1,11832,140,105.4,3
20220619,1,23613,283,217.25,7
20220620,1,10095,121,93.74,3
20220621,1,16484,196,169.85,5
20220622,1,22372,264,267.51,5
20220623,1,10881,138,119.36,4
20220624,1,23869,260,194.67,7
20220625,1,11944,159,131.32,4
20220626,1,20312,248,205.4,7
20220627,1,12738,160,116.66,4
20220628,1,13364,169,119.43,4
20220629,1,11463,133,103.8,3
20220630,1,9688,111,92.94,2
20220701,1,10813,123,85.01,3
20220702,1,15600,186,137.69,5
20220703,1,19259,243,199.97,6
20220704,1,31418,367,289.36,9
20220705,1,6457,81,71.3,2
20220706,1,20586,216,151.56,5
20220707,1,19973,236,223.83,6
20220708,1,5398,70,48.94,1
20220709,1,20391,244,162.93,6
20220710,1,13651,157,123.01,3
20220711,1,15492,180,129.3,4
20220712,1,12702,128,100.73,3
20220713,1,8706,99,77.32,2
20220714,1,6293,81,63.04,2
20220715,1,7459,87,64.43,2
20220716,1,6981,82,66.7,2
20220717,1,18191,191,146.77,5
20220718,1,10960,120,103.79,3
20220719,1,7558,98,76.01,2
20220720,1,16205,203,148.46,5
20220721,1,17196,192,132.29,5
20220722,1,12823,149,116.2,4
20220723,1,24076,290,207.15,8
20220724,1,12557,141,99.91,3
20220725,1,16828,180,148.55,5
20220726,1,4520,54,37.24,1
20220727,1,15303,191,169.16,5
20220728,1,22411,280,224.42,7
20220729,1,13300,169,132.96,4
20220730,1,9561,105,76.38,2
20220731,1,7524,91,76.74,2
20220801,1,11805,140,110.84,3
20220802,1,21857,262,196.65,7
20220803,1,5464,65,52.75,1
20220804,1,21592,250,173.04,6
20220805,1,48159,484,337.04,13
20220806,1,4647,60,43.84,1
20220807,1,11154,137,111.43,3
20220808,1,19066,210,166.89,5
20220809,1,5248,65,55.97,1
20220810,1,18263,214,157.67,5
20220811,1,19171,225,187.16,6
20220812,1,18623,214,168.56,5
20220813,1,16981,211,155.53,5
20220814,1,23721,272,223.11,7
20220815,1,18646,210,166.14,5
20220816,1,12819,165,124.94,3
20220817,1,19921,237,189.65,5
20220818,1,24418,291,229.7,7
20220819,1,18752,235,185.2,5
20220820,1,17578,203,156.91,5
20220821,1,12494,146,104.83,4
20220822,1,9641,118,94.71,2
20220823,1,12689,139,104.05,3
20220824,1,5257,64,46.83,1
20220825,1,36674,421,329.8,11
20220826,1,10203,129,109.62,3
20220827,1,28769,357,289.34,9
20220828,1,13648,168,128.34,4
20220829,1,13209,144,109.58,4
20220830,1,22549,269,226.16,6
20220831,1,22086,247,163.34,5
20220901,1,15784,189,161.55,4
20220902,1,18386,192,132.38,4
20220903,1,16914,185,132.39,4
20220904,1,23830,307,236.22,7
20220905,1,15494,190,181.39,4
20220906,1,4514,53,48.72,1
20220907,1,32763,372,315.07,9
20220908,1,24925,280,230.8,7
20220909,1,23409,284,196.46,6
20220910,1,29469,346,280.68,9
20220911,1,30572,402,308.4,9
20220912,1,11476,136,102.39,3
20220913,1,13724,165,134.37,5
20220914,1,17239,190,146.92,5
20220915,1,12371,145,125.19,3
20220916,1,9171,111,76.15,3
20220917,1,12810,150,121.28,3
20220918,1,21412,249,186.93,7
20220919,1,22608,276,214.75,6
20220920,1,19530,256,210.74,6
20220921,1,12094,146,107.63,3
20220922,1,11002,141,115.23,3
20220923,1,16668,207,163.64,5
20220924,1,20208,258,197.14,6
20220925,1,27490,317,246.08,9
20220926,1,22435,265,210.88,6
20220927,1,19216,227,171.76,6
20220928,1,13760,170,136.86,4
20220929,1,15156,190,149.97,4
20220930,1,1495,18,13.67,0
20221001,1,21990,277,254.33,7
20221002,1,22419,259,215.82,7
20221003,1,14762,186,145.63,5
20221004,1,8742,111,90.43,2
20221005,1,18087,225,167.83,5
20221006,1,12459,150,117.38,3
20221007,1,6098,76,60.15,1
20221008,1,15906,180,131.71,4
20221009,1,13658,165,137.85,4
20221010,1,12095,147,114.13,3
20221011,1,20509,226,178.04,6
20221012,1,20362,250,193.68,6
20221013,1,18880,209,214.31,5
20221014,1,8170,95,72.7,2
20221015,1,35127,420,288.36,8
20221016,1,22602,258,184.31,6
20221017,1,12683,152,131.35,3
20221018,1,16122,193,174.32,5
20221019,1,17182,195,150.08,4
20221020,1,13865,171,154.2,4
20221021,1,8257,94,81.0,2
20221022,1,19531,267,213.41,6
20221023,1,11489,136,108.29,3
20221024,1,12517,139,114.38,3
20221025,1,13448,151,131.76,3
20221026,1,30096,384,322.81,9
20221027,1,16352,190,146.33,4
20221028,1,22604,248,198.87,5
20221029,1,20110,252,240.68,6
20221030,1,19638,228,189.27,5
20221031,1,29488,365,319.17,8
20221101,1,19702,248,210.95,6
20221102,1,20750,251,208.73,6
20221103,1,21403,294,242.13,8
20221104,1,30300,325,284.45,8
20221105,1,28170,319,275.42,8
20221106,1,22970,269,224.18,8
20221107,1,28051,382,295.36,9
20221108,1,27562,365,307.42,8
20221109,1,17909,230,186.75,4
20221110,1,21355,242,193.16,7
20221111,1,35406,404,409.41,12
20221112,1,17778,201,145.12,4
20221113,1,49493,561,495.11,13
20221114,1,19320,251,192.0,5
20221115,1,23580,276,228.34,7
20221116,1,28144,332,333.79,7
20221117,1,10773,134,101.85,2
20221118,1,39648,426,329.35,13
20221119,1,31827,379,309.91,9
20221120,1,50211,558,427.55,15
20221121,1,24100,281,246.97,6
20221122,1,35529,407,319.66,10
20221123,1,46416,530,457.92,11
20221124,1,26780,322,237.65,7
20221125,1,19968,240,170.83,5
20221126,1,41781,489,394.53,10
20221127,1,31177,378,274.13,8
20221128,1,38120,429,398.34,10
20221129,1,20082,248,180.34,5
20221130,1,21782,255,193.19,5
20221201,1,20761,239,203.23,5
20221202,1,31865,360,282.6,7
20221203,1,27318,319,232.14,7
20221204,1,13280,176,170.2,4
20221205,1,37629,444,337.68,9
20221206,1,24962,276,223.49,6
20221207,1,34766,435,352.81,10
20221208,1,34147,393,342.48,9
20221209,1,32721,394,336.67,8
20221210,1,24795,283,218.62,7
20221211,1,21518,275,220.72,6
20221212,1,10244,117,94.78,2
20221213,1,14145,182,159.43,4
20221214,1,21516,239,179.45,5
20221215,1,13165,153,148.6,4
20221216,1,20991,270,209.55,7
20221217,1,10046,120,99.48,3
20221218,1,13728,186,140.08,4
20221219,1,14443,168,125.13,4
20221220,1,16829,202,155.58,4
20221221,1,7548,100,76.66,2
20221222,1,12882,139,111.29,3
20221223,1,25399,272,208.01,7
20221224,1,22997,259,226.63,6
20221225,1,7660,95,73.96,2
20221226,1,5316,57,43.69,1
20221227,1,14626,179,144.05,5
20221228,1,13951,170,152.83,4
20221229,1,21544,287,242.27,8
20221230,1,28964,364,299.28,8
20221231,1,23047,278,205.66,6
20230101,1,8983,115,87.3,2
20230102,1,11160,136,101.79,3
20230103,1,16208,186,171.48,5
20230104,1,5539,61,52.99,1
20230105,1,9476,108,83.95,2
20230106,1,22867,269,214.09,6
20230107,1,23585,281,218.63,7
20230108,1,18706,194,150.21,5
20230109,1,7995,93,80.49,2
20230110,1,11605,137,111.68,3
20230111,1,8130,99,96.89,2
20230112,1,3695,48,43.75,1
20230113,1,12088,144,133.42,3
20230114,1,19815,221,194.0,5
20230115,1,12311,130,104.73,3
20230116,1,14506,178,156.08,4
20230117,1,9664,108,87.69,2
20230118,1,11129,138,131.37,3
20230119,1,15156,194,167.06,5
20230120,1,21440,230,196.43,6
20230121,1,10111,123,103.53,3
20230122,1,14629,186,179.01,4
20230123,1,7277,91,67.68,2
20230124,1,6074,63,60.84,1
20230125,1,21569,241,198.18,5
20230126,1,9091,99,73.74,2
20230127,1,12199,148,116.21,4
20230128,1,16762,202,148.38,5
20230129,1,16704,167,147.53,4
20230130,1,27638,319,245.39,7
20230131,1,11680,144,122.36,3
20230201,1,7002,83,76.1,2
20230202,1,11476,136,108.37,3
20230203,1,7397,85,69.61,2
20230204,1,5263,58,43.66,1
20230205,1,15089,177,143.76,3
20230206,1,19614,231,237.6,5
20230207,1,17240,210,187.41,5
20230208,1,24595,301,247.5,7
20230209,1,21956,259,207.29,6
20230210,1,18913,237,198.72,5
20230211,1,12030,138,117.57,3
20230212,1,18964,204,165.57,5
20230213,1,5717,69,60.1,1
20230214,1,15825,187,145.72,4
20230215,1,14651,177,138.02,4
20230216,1,18587,202,174.81,4
20230217,1,10113,132,100.82,3
20230218,1,29432,360,321.11,7
20230219,1,31774,366,308.0,8
20230220,1,24372,270,196.28,6
20230221,1,11842,148,125.51,4
20230222,1,18696,205,151.26,4
20230223,1,4398,59,52.35,1
20230224,1,22679,256,211.27,6
20230225,1,15944,207,202.09,6
20230226,1,14336,166,152.29,4
20230227,1,14995,193,149.51,5
20230228,1,16875,189,135.53,4
20230301,1,12120,142,112.83,3
20230302,1,6352,78,59.97,1
20230303,1,5586,68,66.69,1
20230304,1,9602,120,101.76,3
20230305,1,14173,161,146.48,3
20230306,1,16504,194,160.35,5
20230307,1,7221,91,75.69,2
20230308,1,23110,259,218.56,6
20230309,1,12481,151,139.32,3
20230310,1,10143,117,101.82,2
20230311,1,25102,297,231.27,8
20230312,1,14560,171,164.51,4
20230313,1,16422,183,151.89,4
20230314,1,30869,355,289.96,8
20230315,1,24274,286,193.3,7
20230316,1,20592,239,213.72,5
20230317,1,5767,74,63.02,1
20230318,1,16607,206,176.33,5
20230319,1,32833,390,320.36,10
20230320,1,28253,315,255.76,7
20230321,1,5582,62,50.98,1
20230322,1,9592,126,110.91,3
20230323,1,13205,145,129.29,3
20230324,1,9876,116,97.2,2
20230325,1,18290,218,200.28,6
20230326,1,12493,143,121.1,3
20230327,1,11749,129,105.34,3
20230328,1,9081,101,87.27,2
20230329,1,18084,204,155.42,5
20230330,1,12355,138,120.01,3
20230331,1,24089,304,229.02,7
