order_line_key,order_id,date_key,customer_key,product_key,channel_key,quantity,unit_price,discount_pct,net_revenue,unit_cost,total_cost,gross_profit
67,48,20210109,48,6,4,1,28.0,0.0,28.0,10.2,10.2,17.8
68,48,20210109,48,53,4,1,26.0,0.0,26.0,10.62,10.62,15.38
69,48,20210109,48,55,4,1,36.0,0.0,36.0,13.18,13.18,22.82
70,49,20210109,49,45,1,1,95.0,0.0,95.0,29.45,29.45,65.55
71,50,20210109,50,38,3,1,68.0,0.0,68.0,23.07,23.07,44.93
72,50,20210109,50,38,3,1,68.0,0.0,68.0,23.07,23.07,44.93
73,51,20210110,51,1,1,1,28.0,0.0,28.0,10.03,10.03,17.97
74,52,20210110,52,27,1,1,58.0,0.0,58.0,20.82,20.82,37.18
75,52,20210110,52,31,1,1,78.0,0.0,78.0,25.53,25.53,52.47
76,53,20210110,53,1,1,1,28.0,0.0,28.0,10.03,10.03,17.97
77,53,20210110,53,32,1,1,78.0,0.0,78.0,26.05,26.05,51.95
78,53,20210110,53,21,1,1,46.0,0.0,46.0,16.0,16.0,30.0
79,54,20210110,54,15,1,1,32.0,0.0,32.0,12.11,12.11,19.89
80,55,20210110,55,1,5,1,28.0,0.0,28.0,10.03,10.03,17.97
81,56,20210110,56,41,5,1,68.0,0.0,68.0,22.99,22.99,45.01
82,57,20210111,57,2,2,1,28.0,0.0,28.0,9.75,9.75,18.25
83,57,20210111,57,38,2,1,68.0,0.0,68.0,23.07,23.07,44.93
84,57,20210111,57,54,2,1,26.0,0.0,26.0,10.53,10.53,15.47
85,58,20210111,58,34,2,1,78.0,0.0,78.0,24.66,24.66,53.34
86,59,20210111,59,44,1,1,95.0,0.0,95.0,27.97,27.97,67.03
87,60,20210111,60,14,2,2,32.0,0.0,64.0,12.47,24.94,39.06
88,60,20210111,60,21,2,1,46.0,0.0,46.0,16.0,16.0,30.0
89,61,20210112,61,15,1,1,32.0,0.0,32.0,12.11,12.11,19.89
90,62,20210112,62,4,1,2,28.0,0.0,56.0,9.97,19.94,36.06
91,63,20210112,63,54,1,1,26.0,0.0,26.0,10.53,10.53,15.47
92,64,20210112,64,6,5,1,28.0,0.0,28.0,10.2,10.2,17.8
93,65,20210112,65,25,5,1,58.0,0.0,58.0,21.36,21.36,36.64
94,66,20210112,66,31,5,1,78.0,0.0,78.0,25.53,25.53,52.47
95,66,20210112,66,3,5,1,28.0,0.0,28.0,10.1,10.1,17.9
96,66,20210112,66,34,5,1,78.0,0.0,78.0,24.66,24.66,53.34
97,67,20210112,67,34,5,1,78.0,0.0,78.0,24.66,24.66,53.34
98,68,20210112,68,1,1,1,28.0,0.0,28.0,10.03,10.03,17.97
99,69,20210113,69,4,4,1,28.0,0.0,28.0,9.97,9.97,18.03
100,70,20210113,70,4,1,2,28.0,0.0,56.0,9.97,19.94,36.06
101,70,20210113,70,43,1,1,95.0,0.0,95.0,29.07,29.07,65.93
102,70,20210113,70,25,1,1,58.0,0.0,58.0,21.36,21.36,36.64
103,71,20210113,71,17,5,1,32.0,0.0,32.0,12.21,12.21,19.79
104,71,20210113,71,17,5,1,32.0,0.0,32.0,12.21,12.21,19.79
105,71,20210113,71,5,5,1,28.0,0.0,28.0,9.46,9.46,18.54
106,72,20210113,72,25,5,1,58.0,0.0,58.0,21.36,21.36,36.64
107,73,20210114,73,3,2,2,28.0,0.0,56.0,10.1,20.2,35.8
108,74,20210114,74,50,4,1,26.0,0.0,26.0,10.12,10.12,15.88
109,74,20210114,74,49,4,1,26.0,0.0,26.0,10.54,10.54,15.46
110,75,20210114,75,2,5,1,28.0,0.0,28.0,9.75,9.75,18.25
111,76,20210114,76,27,3,1,58.0,0.0,58.0,20.82,20.82,37.18
112,76,20210114,76,38,3,2,68.0,0.0,136.0,23.07,46.14,89.86
113,77,20210114,77,51,3,1,26.0,0.0,26.0,10.17,10.17,15.83
114,77,20210114,77,51,3,1,26.0,0.0,26.0,10.17,10.17,15.83
115,78,20210114,78,6,2,1,28.0,0.2494,21.02,10.2,10.2,10.82
116,79,20210115,79,44,5,1,95.0,0.0,95.0,27.97,27.97,67.03
117,80,20210115,80,41,5,1,68.0,0.0,68.0,22.99,22.99,45.01
118,81,20210115,81,10,1,3,42.0,0.0,126.0,13.38,40.14,85.86
119,82,20210115,82,39,1,1,68.0,0.0,68.0,22.56,22.56,45.44
120,82,20210115,82,18,1,1,32.0,0.0,32.0,11.74,11.74,20.26
121,82,20210115,82,39,1,1,68.0,0.0,68.0,22.56,22.56,45.44
122,83,20210115,83,40,1,1,68.0,0.0,68.0,23.47,23.47,44.53
123,84,20210116,84,30,3,1,58.0,0.0,58.0,21.2,21.2,36.8
124,84,20210116,84,43,3,1,95.0,0.0,95.0,29.07,29.07,65.93
125,85,20210116,85,3,1,1,28.0,0.0,28.0,10.1,10.1,17.9
126,86,20210116,86,5,1,1,28.0,0.0,28.0,9.46,9.46,18.54
127,87,20210117,87,23,5,1,46.0,0.0,46.0,16.29,16.29,29.71
128,87,20210117,87,2,5,1,28.0,0.0,28.0,9.75,9.75,18.25
129,88,20210117,88,28,5,1,58.0,0.1119,51.51,20.09,20.09,31.42
130,89,20210117,89,2,5,2,28.0,0.0,56.0,9.75,19.5,36.5
131,89,20210117,89,26,5,1,58.0,0.0,58.0,20.35,20.35,37.65
132,90,20210117,90,47,2,1,95.0,0.0,95.0,28.18,28.18,66.82
133,90,20210117,90,37,2,1,68.0,0.0,68.0,22.37,22.37,45.63
134,91,20210117,91,37,5,1,68.0,0.0,68.0,22.37,22.37,45.63
135,92,20210117,92,15,1,1,32.0,0.0,32.0,12.11,12.11,19.89
136,93,20210117,93,26,1,1,58.0,0.0,58.0,20.35,20.35,37.65
137,93,20210117,93,31,1,3,78.0,0.0,234.0,25.53,76.59,157.41
138,94,20210117,94,1,1,1,28.0,0.0,28.0,10.03,10.03,17.97
139,94,20210117,94,21,1,1,46.0,0.0,46.0,16.0,16.0,30.0
140,95,20210117,95,1,1,1,28.0,0.216,21.95,10.03,10.03,11.92
141,95,20210117,95,13,1,1,32.0,0.216,25.09,12.3,12.3,12.79
142,96,20210117,96,36,5,1,78.0,0.0,78.0,24.23,24.23,53.77
143,97,20210118,97,3,1,1,28.0,0.2405,21.27,10.1,10.1,11.17
144,97,20210118,97,4,1,1,28.0,0.2405,21.27,9.97,9.97,11.3
145,97,20210118,97,25,1,1,58.0,0.2405,44.05,21.36,21.36,22.69
146,98,20210118,98,27,5,1,58.0,0.0,58.0,20.82,20.82,37.18
147,99,20210118,99,31,4,2,78.0,0.0,156.0,25.53,51.06,104.94
148,100,20210118,100,37,2,2,68.0,0.0,136.0,22.37,44.74,91.26
149,100,20210118,100,5,2,1,28.0,0.0,28.0,9.46,9.46,18.54
150,101,20210118,101,2,2,1,28.0,0.0,28.0,9.75,9.75,18.25
151,102,20210118,102,6,1,1,28.0,0.0,28.0,10.2,10.2,17.8
152,103,20210118,103,3,1,1,28.0,0.0,28.0,10.1,10.1,17.9
153,103,20210118,103,38,1,1,68.0,0.0,68.0,23.07,23.07,44.93
154,104,20210118,104,37,2,1,68.0,0.1767,55.99,22.37,22.37,33.62
155,105,20210118,105,13,1,1,32.0,0.0,32.0,12.3,12.3,19.7
156,105,20210118,105,37,1,1,68.0,0.0,68.0,22.37,22.37,45.63
157,105,20210118,105,5,1,2,28.0,0.0,56.0,9.46,18.92,37.08
158,106,20210119,106,1,1,1,28.0,0.2296,21.57,10.03,10.03,11.54
159,107,20210119,107,2,5,1,28.0,0.0,28.0,9.75,9.75,18.25
160,108,20210119,108,22,5,1,46.0,0.0,46.0,15.44,15.44,30.56
161,108,20210119,108,31,5,2,78.0,0.0,156.0,25.53,51.06,104.94
162,109,20210119,109,7,4,1,42.0,0.2184,32.83,13.77,13.77,19.06
163,109,20210119,109,37,4,1,68.0,0.2184,53.15,22.37,22.37,30.78
164,110,20210120,110,38,1,1,68.0,0.0,68.0,23.07,23.07,44.93
165,111,20210120,111,3,1,1,28.0,0.0,28.0,10.1,10.1,17.9
166,112,20210120,112,50,1,1,26.0,0.0,26.0,10.12,10.12,15.88
167,113,20210120,113,6,1,1,28.0,0.0,28.0,10.2,10.2,17.8
168,114,20210120,114,48,1,1,95.0,0.0,95.0,27.9,27.9,67.1
169,114,20210120,114,5,1,1,28.0,0.0,28.0,9.46,9.46,18.54
170,114,20210120,114,18,1,1,32.0,0.0,32.0,11.74,11.74,20.26
171,115,20210120,115,29,2,1,58.0,0.0,58.0,20.28,20.28,37.72
172,116,20210121,116,45,2,1,95.0,0.0,95.0,29.45,29.45,65.55
173,117,20210121,117,11,5,2,42.0,0.1238,73.6,13.28,26.56,47.04
174,117,20210121,117,10,5,2,42.0,0.1238,73.6,13.38,26.76,46.84
175,117,20210121,117,15,5,1,32.0,0.1238,28.04,12.11,12.11,15.93
176,118,20210121,118,15,1,1,32.0,0.0,32.0,12.11,12.11,19.89
177,118,20210121,118,10,1,1,42.0,0.0,42.0,13.38,13.38,28.62
178,118,20210121,118,1,1,1,28.0,0.0,28.0,10.03,10.03,17.97
179,119,20210121,119,19,2,2,46.0,0.0,92.0,16.09,32.18,59.82
180,120,20210122,120,4,2,1,28.0,0.0,28.0,9.97,9.97,18.03
181,121,20210122,121,12,5,1,42.0,0.0,42.0,13.98,13.98,28.02
182,121,20210122,121,34,5,2,78.0,0.0,156.0,24.66,49.32,106.68
183,122,20210122,122,2,2,1,28.0,0.0,28.0,9.75,9.75,18.25
184,122,20210122,122,36,2,1,78.0,0.0,78.0,24.23,24.23,53.77
185,123,20210122,123,4,2,1,28.0,0.0,28.0,9.97,9.97,18.03
186,123,20210122,123,49,2,1,26.0,0.0,26.0,10.54,10.54,15.46
187,123,20210122,123,31,2,1,78.0,0.0,78.0,25.53,25.53,52.47
188,124,20210122,124,5,4,1,28.0,0.1949,22.54,9.46,9.46,13.08
189,125,20210122,125,4,1,1,28.0,0.0,28.0,9.97,9.97,18.03
190,125,20210122,125,29,1,1,58.0,0.0,58.0,20.28,20.28,37.72
191,126,20210122,126,7,1,1,42.0,0.0,42.0,13.77,13.77,28.23
192,126,20210122,126,49,1,1,26.0,0.0,26.0,10.54,10.54,15.46
193,126,20210122,126,29,1,1,58.0,0.0,58.0,20.28,20.28,37.72
194,127,20210122,127,52,5,1,26.0,0.0,26.0,10.02,10.02,15.98
195,127,20210122,127,15,5,1,32.0,0.0,32.0,12.11,12.11,19.89
196,128,20210123,128,38,2,1,68.0,0.0,68.0,23.07,23.07,44.93
197,128,20210123,128,11,2,1,42.0,0.0,42.0,13.28,13.28,28.72
198,128,20210123,128,40,2,1,68.0,0.0,68.0,23.47,23.47,44.53
199,129,20210123,129,44,1,1,95.0,0.0,95.0,27.97,27.97,67.03
200,129,20210123,129,3,1,1,28.0,0.0,28.0,10.1,10.1,17.9
201,130,20210123,130,32,1,1,78.0,0.0,78.0,26.05,26.05,51.95
202,130,20210123,130,43,1,1,95.0,0.0,95.0,29.07,29.07,65.93
203,131,20210123,131,10,3,1,42.0,0.0,42.0,13.38,13.38,28.62
204,132,20210123,132,45,3,1,95.0,0.0,95.0,29.45,29.45,65.55
205,133,20210123,133,2,5,1,28.0,0.0,28.0,9.75,9.75,18.25
206,134,20210123,134,14,5,3,32.0,0.0,96.0,12.47,37.41,58.59
207,135,20210123,135,6,5,1,28.0,0.0,28.0,10.2,10.2,17.8
208,135,20210123,135,29,5,1,58.0,0.0,58.0,20.28,20.28,37.72
209,136,20210123,136,50,5,1,26.0,0.0,26.0,10.12,10.12,15.88
210,136,20210123,136,1,5,2,28.0,0.0,56.0,10.03,20.06,35.94
211,136,20210123,136,15,5,1,32.0,0.0,32.0,12.11,12.11,19.89
212,137,20210124,137,44,5,1,95.0,0.0,95.0,27.97,27.97,67.03
213,137,20210124,137,26,5,1,58.0,0.0,58.0,20.35,20.35,37.65
214,138,20210124,138,11,5,1,42.0,0.0,42.0,13.28,13.28,28.72
215,139,20210124,139,13,4,1,32.0,0.0,32.0,12.3,12.3,19.7
216,140,20210124,140,34,4,2,78.0,0.0,156.0,24.66,49.32,106.68
217,141,20210124,141,38,1,1,68.0,0.0,68.0,23.07,23.07,44.93
218,141,20210124,141,27,1,1,58.0,0.0,58.0,20.82,20.82,37.18
219,142,20210124,142,9,1,1,42.0,0.0,42.0,12.97,12.97,29.03
220,143,20210124,143,40,1,2,68.0,0.0,136.0,23.47,46.94,89.06
221,144,20210124,144,4,1,1,28.0,0.1851,22.82,9.97,9.97,12.85
222,144,20210124,144,4,1,1,28.0,0.1851,22.82,9.97,9.97,12.85
223,145,20210124,145,17,1,1,32.0,0.0,32.0,12.21,12.21,19.79
224,146,20210125,146,40,1,1,68.0,0.0,68.0,23.47,23.47,44.53
225,147,20210125,147,36,5,1,78.0,0.0,78.0,24.23,24.23,53.77
226,147,20210125,147,21,5,1,46.0,0.0,46.0,16.0,16.0,30.0
227,148,20210125,148,13,3,1,32.0,0.0,32.0,12.3,12.3,19.7
228,149,20210126,149,11,5,1,42.0,0.0,42.0,13.28,13.28,28.72
229,150,20210127,150,48,4,1,95.0,0.0,95.0,27.9,27.9,67.1
230,151,20210127,151,41,1,1,68.0,0.0,68.0,22.99,22.99,45.01
231,152,20210127,152,34,1,1,78.0,0.0,78.0,24.66,24.66,53.34
232,152,20210127,152,15,1,1,32.0,0.0,32.0,12.11,12.11,19.89
233,153,20210127,153,37,5,1,68.0,0.1913,54.99,22.37,22.37,32.62
234,154,20210127,154,4,4,1,28.0,0.0,28.0,9.97,9.97,18.03
235,155,20210128,155,13,3,1,32.0,0.2062,25.4,12.3,12.3,13.1
236,156,20210128,156,1,1,1,28.0,0.0,28.0,10.03,10.03,17.97
237,157,20210128,157,14,2,1,32.0,0.0,32.0,12.47,12.47,19.53
238,157,20210128,157,4,2,1,28.0,0.0,28.0,9.97,9.97,18.03
239,158,20210128,158,27,5,1,58.0,0.0,58.0,20.82,20.82,37.18
240,158,20210128,158,10,5,1,42.0,0.0,42.0,13.38,13.38,28.62
241,158,20210128,158,45,5,1,95.0,0.0,95.0,29.45,29.45,65.55
242,159,20210128,159,1,5,1,28.0,0.0,28.0,10.03,10.03,17.97
243,159,20210128,159,28,5,1,58.0,0.0,58.0,20.09,20.09,37.91
244,160,20210128,160,38,1,1,68.0,0.0,68.0,23.07,23.07,44.93
245,160,20210128,160,15,1,1,32.0,0.0,32.0,12.11,12.11,19.89
246,161,20210128,161,27,1,1,58.0,0.0,58.0,20.82,20.82,37.18
247,161,20210128,161,4,1,2,28.0,0.0,56.0,9.97,19.94,36.06
248,162,20210128,162,52,1,2,26.0,0.0,52.0,10.02,20.04,31.96
249,163,20210128,163,22,1,2,46.0,0.0,92.0,15.44,30.88,61.12
250,163,20210128,163,10,1,1,42.0,0.0,42.0,13.38,13.38,28.62
251,164,20210128,164,2,2,2,28.0,0.0,56.0,9.75,19.5,36.5
252,164,20210128,164,2,2,1,28.0,0.0,28.0,9.75,9.75,18.25
253,164,20210128,164,49,2,1,26.0,0.0,26.0,10.54,10.54,15.46
254,165,20210128,165,44,1,3,95.0,0.0,285.0,27.97,83.91,201.09
255,166,20210129,166,31,1,1,78.0,0.0,78.0,25.53,25.53,52.47
256,167,20210129,167,50,1,2,26.0,0.0,52.0,10.12,20.24,31.76
257,168,20210129,168,31,2,1,78.0,0.0,78.0,25.53,25.53,52.47
258,168,20210129,168,25,2,1,58.0,0.0,58.0,21.36,21.36,36.64
259,169,20210129,169,29,1,1,58.0,0.0,58.0,20.28,20.28,37.72
260,170,20210129,170,14,5,1,32.0,0.0,32.0,12.47,12.47,19.53
261,171,20210129,171,1,5,1,28.0,0.0,28.0,10.03,10.03,17.97
262,171,20210129,171,8,5,1,42.0,0.0,42.0,13.8,13.8,28.2
263,172,20210130,172,27,4,1,58.0,0.0,58.0,20.82,20.82,37.18
264,172,20210130,172,2,4,1,28.0,0.0,28.0,9.75,9.75,18.25
265,173,20210130,173,1,4,2,28.0,0.0,56.0,10.03,20.06,35.94
266,174,20210130,174,37,5,1,68.0,0.0,68.0,22.37,22.37,45.63
267,174,20210130,174,34,5,1,78.0,0.0,78.0,24.66,24.66,53.34
268,175,20210130,175,27,5,1,58.0,0.0,58.0,20.82,20.82,37.18
269,176,20210130,176,34,1,1,78.0,0.0,78.0,24.66,24.66,53.34
270,176,20210130,176,54,1,2,26.0,0.0,52.0,10.53,21.06,30.94
271,177,20210130,177,49,2,1,26.0,0.0,26.0,10.54,10.54,15.46
272,178,20210130,178,32,2,2,78.0,0.0,156.0,26.05,52.1,103.9
273,179,20210130,179,11,5,1,42.0,0.0,42.0,13.28,13.28,28.72
274,180,20210130,180,30,5,1,58.0,0.0,58.0,21.2,21.2,36.8
275,180,20210130,180,30,5,2,58.0,0.0,116.0,21.2,42.4,73.6
276,181,20210131,181,27,2,1,58.0,0.0,58.0,20.82,20.82,37.18
277,182,20210131,182,12,2,1,42.0,0.0,42.0,13.98,13.98,28.02
278,182,20210131,182,10,2,2,42.0,0.0,84.0,13.38,26.76,57.24
279,182,20210131,182,7,2,1,42.0,0.0,42.0,13.77,13.77,28.23
280,183,20210131,183,8,1,1,42.0,0.0,42.0,13.8,13.8,28.2
281,183,20210131,183,53,1,1,26.0,0.0,26.0,10.62,10.62,15.38
282,184,20210131,184,32,1,1,78.0,0.0,78.0,26.05,26.05,51.95
283,184,20210131,184,2,1,1,28.0,0.0,28.0,9.75,9.75,18.25
284,185,20210201,185,47,4,1,95.0,0.0,95.0,28.18,28.18,66.82
285,186,20210201,186,32,1,1,78.0,0.0,78.0,26.05,26.05,51.95
286,186,20210201,186,8,1,1,42.0,0.0,42.0,13.8,13.8,28.2
287,187,20210201,187,17,1,1,32.0,0.0,32.0,12.21,12.21,19.79
288,188,20210201,188,51,1,1,26.0,0.0,26.0,10.17,10.17,15.83
289,188,20210201,188,41,1,1,68.0,0.0,68.0,22.99,22.99,45.01
290,189,20210201,189,5,1,1,28.0,0.1405,24.07,9.46,9.46,14.61
291,189,20210201,189,55,1,2,36.0,0.1405,61.88,13.18,26.36,35.52
292,189,20210201,189,13,1,1,32.0,0.1405,27.5,12.3,12.3,15.2
293,190,20210201,190,17,1,1,32.0,0.0,32.0,12.21,12.21,19.79
294,190,20210201,190,29,1,1,58.0,0.0,58.0,20.28,20.28,37.72
295,191,20210201,191,6,1,1,28.0,0.0,28.0,10.2,10.2,17.8
296,192,20210201,192,49,4,2,26.0,0.0,52.0,10.54,21.08,30.92
297,193,20210201,193,32,2,1,78.0,0.2416,59.16,26.05,26.05,33.11
298,194,20210202,194,10,1,1,42.0,0.0,42.0,13.38,13.38,28.62
299,195,20210202,195,1,2,1,28.0,0.146,23.91,10.03,10.03,13.88
300,196,20210202,196,50,2,1,26.0,0.0,26.0,10.12,10.12,15.88
301,196,20210202,196,52,2,1,26.0,0.0,26.0,10.02,10.02,15.98
302,197,20210202,197,28,1,1,58.0,0.0,58.0,20.09,20.09,37.91
303,197,20210202,197,28,1,2,58.0,0.0,116.0,20.09,40.18,75.82
304,197,20210202,197,4,1,1,28.0,0.0,28.0,9.97,9.97,18.03
305,198,20210202,198,44,1,1,95.0,0.0,95.0,27.97,27.97,67.03
306,199,20210202,199,1,1,1,28.0,0.0,28.0,10.03,10.03,17.97
307,200,20210202,200,48,1,1,95.0,0.0,95.0,27.9,27.9,67.1
308,201,20210202,201,44,1,1,95.0,0.0,95.0,27.97,27.97,67.03
309,202,20210202,202,35,1,1,78.0,0.0,78.0,24.89,24.89,53.11
310,203,20210203,203,47,2,1,95.0,0.0,95.0,28.18,28.18,66.82
311,204,20210203,204,42,2,1,68.0,0.0,68.0,23.8,23.8,44.2
312,205,20210203,205,37,2,1,68.0,0.0,68.0,22.37,22.37,45.63
313,206,20210203,206,28,1,1,58.0,0.0,58.0,20.09,20.09,37.91
314,207,20210203,207,52,1,1,26.0,0.0,26.0,10.02,10.02,15.98
315,207,20210203,207,54,1,1,26.0,0.0,26.0,10.53,10.53,15.47
316,207,20210203,207,2,1,1,28.0,0.0,28.0,9.75,9.75,18.25
317,208,20210203,208,45,1,1,95.0,0.1967,76.32,29.45,29.45,46.87
318,208,20210203,208,37,1,1,68.0,0.1967,54.63,22.37,22.37,32.26
319,209,20210203,209,29,1,1,58.0,0.0,58.0,20.28,20.28,37.72
320,210,20210204,210,39,1,1,68.0,0.0,68.0,22.56,22.56,45.44
321,210,20210204,210,51,1,1,26.0,0.0,26.0,10.17,10.17,15.83
322,211,20210204,211,49,5,1,26.0,0.0,26.0,10.54,10.54,15.46
323,211,20210204,211,2,5,1,28.0,0.0,28.0,9.75,9.75,18.25
324,212,20210204,212,7,4,1,42.0,0.0,42.0,13.77,13.77,28.23
325,212,20210204,212,44,4,1,95.0,0.0,95.0,27.97,27.97,67.03
326,213,20210204,213,2,1,1,28.0,0.0,28.0,9.75,9.75,18.25
327,213,20210204,213,34,1,3,78.0,0.0,234.0,24.66,73.98,160.02
328,214,20210204,214,42,1,1,68.0,0.0,68.0,23.8,23.8,44.2
329,214,20210204,214,7,1,1,42.0,0.0,42.0,13.77,13.77,28.23
330,215,20210204,215,44,2,1,95.0,0.0,95.0,27.97,27.97,67.03
331,216,20210204,216,1,2,2,28.0,0.2006,44.77,10.03,20.06,24.71
332,217,20210204,217,9,1,1,42.0,0.0,42.0,12.97,12.97,29.03
333,217,20210204,217,32,1,1,78.0,0.0,78.0,26.05,26.05,51.95
334,217,20210204,217,25,1,1,58.0,0.0,58.0,21.36,21.36,36.64
335,218,20210205,218,17,3,2,32.0,0.0,64.0,12.21,24.42,39.58
336,218,20210205,218,20,3,1,46.0,0.0,46.0,15.82,15.82,30.18
337,218,20210205,218,41,3,1,68.0,0.0,68.0,22.99,22.99,45.01
338,219,20210205,219,1,1,1,28.0,0.0,28.0,10.03,10.03,17.97
339,220,20210205,220,50,1,1,26.0,0.0,26.0,10.12,10.12,15.88
340,221,20210205,221,36,1,1,78.0,0.0,78.0,24.23,24.23,53.77
341,222,20210205,222,45,1,1,95.0,0.0,95.0,29.45,29.45,65.55
342,222,20210205,222,32,1,1,78.0,0.0,78.0,26.05,26.05,51.95
343,223,20210205,223,24,4,1,46.0,0.1854,37.47,16.18,16.18,21.29
344,224,20210205,224,49,2,2,26.0,0.1183,45.85,10.54,21.08,24.77
345,225,20210205,225,40,2,1,68.0,0.0,68.0,23.47,23.47,44.53
